PEAK,Time1,Price1,VALLEY,Time2,Price2
3809,2022-09-28 23:00:00,19667.0,3805,2022-09-29 00:00:00,19457.8
3803,2022-09-29 00:30:00,19600.0,3802,2022-09-29 00:45:00,19250.0
3788,2022-09-29 04:15:00,19787.6,3774,2022-09-29 07:45:00,19361.6
3771,2022-09-29 08:30:00,19596.0,3769,2022-09-29 09:00:00,19271.0
3758,2022-09-29 11:45:00,19620.0,3749,2022-09-29 14:00:00,19270.5
3732,2022-09-29 18:15:00,19537.0,3727,2022-09-29 19:30:00,19094.0
3724,2022-09-29 20:15:00,19357.0,3720,2022-09-29 21:15:00,18827.2
3710,2022-09-29 23:45:00,19648.8,3702,2022-09-30 01:45:00,19253.1
3679,2022-09-30 07:30:00,19698.6,3669,2022-09-30 10:00:00,19305.0
3650,2022-09-30 14:45:00,19633.6,3631,2022-09-30 19:30:00,19066.0
3621,2022-09-30 22:00:00,20172.7,3616,2022-09-30 23:15:00,19551.0
3615,2022-09-30 23:30:00,19865.2,3613,2022-10-01 00:00:00,19644.0
3611,2022-10-01 00:30:00,19809.3,3610,2022-10-01 00:45:00,19585.0
3608,2022-10-01 01:15:00,19827.8,3606,2022-10-01 01:45:00,19599.6
3605,2022-10-01 02:00:00,19737.2,3557,2022-10-01 14:00:00,19254.9
3543,2022-10-01 17:30:00,19358.6,3540,2022-10-01 18:15:00,19140.0
3532,2022-10-01 20:15:00,19396.5,3397,2022-10-03 06:00:00,18896.0
3341,2022-10-03 20:00:00,19333.0,3339,2022-10-03 20:30:00,19126.8
3318,2022-10-04 01:45:00,19646.8,3316,2022-10-04 02:15:00,19426.3
3300,2022-10-04 06:15:00,19723.7,3294,2022-10-04 07:45:00,19520.0
3265,2022-10-04 15:00:00,20159.3,3251,2022-10-04 18:30:00,19860.9
3241,2022-10-04 21:00:00,20300.0,3228,2022-10-05 00:15:00,19871.0
3214,2022-10-05 03:45:00,20500.0,3206,2022-10-05 05:45:00,20230.0
3203,2022-10-05 06:30:00,20379.9,3184,2022-10-05 11:15:00,20071.1
3174,2022-10-05 13:45:00,20290.0,3152,2022-10-05 19:15:00,19958.4
3150,2022-10-05 19:45:00,20066.0,3146,2022-10-05 20:45:00,19810.0
3145,2022-10-05 21:00:00,19938.2,3144,2022-10-05 21:15:00,19707.0
3125,2022-10-06 02:00:00,20350.0,3114,2022-10-06 04:45:00,20002.8
3088,2022-10-06 11:15:00,20443.9,3052,2022-10-06 20:15:00,20032.0
3051,2022-10-06 20:30:00,20293.4,3048,2022-10-06 21:15:00,19867.5
3036,2022-10-07 00:15:00,20264.1,3030,2022-10-07 01:45:00,19977.4
3023,2022-10-07 03:30:00,20069.0,3017,2022-10-07 05:00:00,19843.3
2959,2022-10-07 19:30:00,20067.0,2958,2022-10-07 19:45:00,19454.2
2956,2022-10-07 20:15:00,19696.9,2944,2022-10-07 23:15:00,19304.4
2924,2022-10-08 04:15:00,19635.7,2741,2022-10-10 02:00:00,19333.0
2714,2022-10-10 08:45:00,19513.0,2687,2022-10-10 15:30:00,19113.7
2669,2022-10-10 20:00:00,19430.0,2633,2022-10-11 05:00:00,19000.0
2631,2022-10-11 05:30:00,19171.0,2625,2022-10-11 07:00:00,18935.7
2576,2022-10-11 19:15:00,19260.0,2569,2022-10-11 21:00:00,18850.0
2502,2022-10-12 13:45:00,19193.9,2479,2022-10-12 19:30:00,18924.3
2441,2022-10-13 05:00:00,19240.0,2391,2022-10-13 17:30:00,18550.0
2384,2022-10-13 19:15:00,19036.6,2383,2022-10-13 19:30:00,17917.8
2330,2022-10-14 08:45:00,19947.9,2300,2022-10-14 16:15:00,19520.0
2286,2022-10-14 19:45:00,19843.5,2280,2022-10-14 21:15:00,19343.0
2279,2022-10-14 21:30:00,19535.0,2272,2022-10-14 23:15:00,19213.0
2267,2022-10-15 00:30:00,19368.0,2149,2022-10-16 06:00:00,18966.0
2065,2022-10-17 03:00:00,19415.9,2058,2022-10-17 04:45:00,19092.0
1927,2022-10-18 13:30:00,19706.4,1802,2022-10-19 20:45:00,19050.0
1794,2022-10-19 22:45:00,19300.0,1762,2022-10-20 06:45:00,19070.8
1760,2022-10-20 07:15:00,19158.8,1758,2022-10-20 07:45:00,18882.4
1207,2022-10-26 01:30:00,20400.0,1199,2022-10-26 03:30:00,19997.9
1194,2022-10-26 04:45:00,20270.8,1191,2022-10-26 05:30:00,19970.6
1151,2022-10-26 15:30:00,20800.0,1145,2022-10-26 17:00:00,20531.1
1141,2022-10-26 18:00:00,20738.9,1136,2022-10-26 19:15:00,20436.0
1133,2022-10-26 20:00:00,20555.0,1131,2022-10-26 20:30:00,20329.1
1127,2022-10-26 21:30:00,21030.0,1127,2022-10-26 21:30:00,20741.0
1121,2022-10-26 23:00:00,20985.4,1115,2022-10-27 00:30:00,20657.0
1113,2022-10-27 01:00:00,20859.9,1109,2022-10-27 02:00:00,20631.7
1095,2022-10-27 05:30:00,20897.4,1077,2022-10-27 10:00:00,20561.5
1067,2022-10-27 12:30:00,20863.7,1047,2022-10-27 17:30:00,20450.0
1039,2022-10-27 19:30:00,20773.1,1039,2022-10-27 19:30:00,20510.0
1036,2022-10-27 20:15:00,20730.0,1034,2022-10-27 20:45:00,20420.0
1033,2022-10-27 21:00:00,20724.5,1008,2022-10-28 03:15:00,20222.4
1001,2022-10-28 05:00:00,20410.0,992,2022-10-28 07:15:00,20150.0
990,2022-10-28 07:45:00,20326.9,960,2022-10-28 15:15:00,20010.1
943,2022-10-28 19:30:00,20288.0,943,2022-10-28 19:30:00,19951.0
939,2022-10-28 20:30:00,20585.0,937,2022-10-28 21:00:00,20317.8
856,2022-10-29 17:15:00,21088.0,844,2022-10-29 20:15:00,20680.4
826,2022-10-30 00:45:00,20974.9,797,2022-10-30 08:00:00,20694.6
773,2022-10-30 14:00:00,20925.2,650,2022-10-31 20:45:00,20250.4
570,2022-11-01 16:45:00,20687.0,553,2022-11-01 21:00:00,20320.0
493,2022-11-02 12:00:00,20550.0,441,2022-11-03 01:00:00,20146.8
439,2022-11-03 01:30:00,20796.0,428,2022-11-03 04:15:00,20050.0
400,2022-11-03 11:15:00,20400.0,366,2022-11-03 19:45:00,20026.0
295,2022-11-04 13:30:00,20677.0,271,2022-11-04 19:30:00,20350.0
263,2022-11-04 21:30:00,21297.0,257,2022-11-04 23:00:00,20660.0
212,2022-11-05 10:15:00,21473.7,28,2022-11-07 08:15:00,20811.0
24,2022-11-07 09:15:00,21062.6,1,2022-11-07 15:00:00,20563.2
